sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN0148_sCopy_OE_16h_HA_ChIPMix46_1	AN0148	16h	HA	.	narrow
AN0148_sCopy_OE_16h_polII_ChIPMix55_1	AN0148	16h	polII	.	.
AN0153_sCopy_OE_16h_HA_ChIPMix46_1	AN0153	16h	HA	.	narrow
AN0153_sCopy_OE_16h_HA_ChIPMix55_2	AN0153	16h	HA	.	narrow
AN0153_sCopy_OE_16h_polII_ChIPMix55_1	AN0153	16h	polII	.	.
AN0153_sCopy_OE_16h_polII_ChIPMix60_2	AN0153	16h	polII	.	.
AN0533_mCopy_OE_16h_HIS_ChIPMix17_1	AN0533	16h	HIS	.	narrow
AN0533_mCopy_OE_16h_polII_ChIPMix17_1	AN0533	16h	polII	.	.
AN0533_sCopy_OE_16h_HIS_ChIPMix55_1	AN0533	16h	HIS	.	narrow
AN0533_sCopy_OE_16h_HIS_ChIPMix36_2	AN0533	16h	HIS	.	narrow
AN0533_sCopy_OE_16h_polII_ChIPMix60_2	AN0533	16h	polII	.	.
AN10021_sCopy_OE_16h_HA_ChIPMix36_1	AN10021	16h	HA	.	narrow
AN10021_sCopy_OE_16h_HA_ChIPMix36_2	AN10021	16h	HA	.	narrow
AN10021_sCopy_OE_16h_polII_ChIPMix60_1	AN10021	16h	polII	.	.
AN10021_sCopy_OE_16h_polII_ChIPMix60_2	AN10021	16h	polII	.	.
AN1029_sCopy_OE_16h_HA_ChIPMix36_1	AN1029	16h	HA	.	narrow
AN1029_sCopy_OE_16h_HA_ChIPMix46_2	AN1029	16h	HA	.	narrow
AN1029_sCopy_OE_16h_polII_ChIPMix55_1	AN1029	16h	polII	.	.
AN10294_sCopy_OE_16h_HA_ChIPMix46_1	AN10294	16h	HA	.	narrow
AN10294_sCopy_OE_16h_HA_ChIPMix55_2	AN10294	16h	HA	.	narrow
AN10294_sCopy_OE_16h_polII_ChIPMix55_1	AN10294	16h	polII	.	.
AN10294_sCopy_OE_16h_polII_ChIPMix55_2	AN10294	16h	polII	.	.
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix36_1	AN10295	16h	HA	.	narrow
